"date_heure","Voltage"
"1",2009-11-25 23:00:00,244.548333333333
"2",2009-11-26 00:00:00,244.335666666667
"3",2009-11-26 01:00:00,246.875666666667
"4",2009-11-26 02:00:00,243.886333333333
"5",2009-11-26 03:00:00,243.221
"6",2009-11-26 04:00:00,243.328333333333
"7",2009-11-26 05:00:00,242.5045
"8",2009-11-26 06:00:00,241.173333333333
"9",2009-11-26 07:00:00,243.264333333333
"10",2009-11-26 08:00:00,243.566166666667
"11",2009-11-26 09:00:00,243.775666666667
"12",2009-11-26 10:00:00,241.205333333333
"13",2009-11-26 11:00:00,242.078666666667
"14",2009-11-26 12:00:00,242.445
"15",2009-11-26 13:00:00,245.029666666667
"16",2009-11-26 14:00:00,242.804166666667
"17",2009-11-26 15:00:00,244.051
"18",2009-11-26 16:00:00,239.9445
"19",2009-11-26 17:00:00,241.143333333333
"20",2009-11-26 18:00:00,240.728333333333
"21",2009-11-26 19:00:00,236.829666666667
"22",2009-11-26 20:00:00,239.128166666667
"23",2009-11-26 21:00:00,243.183
"24",2009-11-26 22:00:00,244.393
"25",2009-11-26 23:00:00,242.152
"26",2009-11-27 00:00:00,241.863
"27",2009-11-27 01:00:00,243.497
"28",2009-11-27 02:00:00,243.1855
"29",2009-11-27 03:00:00,241.646166666667
"30",2009-11-27 04:00:00,242.061
"31",2009-11-27 05:00:00,242.409833333333
"32",2009-11-27 06:00:00,240.462
"33",2009-11-27 07:00:00,241.076833333333
"34",2009-11-27 08:00:00,240.581833333333
"35",2009-11-27 09:00:00,240.176
"36",2009-11-27 10:00:00,240.617833333333
"37",2009-11-27 11:00:00,241.544666666667
"38",2009-11-27 12:00:00,241.4295
"39",2009-11-27 13:00:00,243.908166666667
"40",2009-11-27 14:00:00,246.862166666667
"41",2009-11-27 15:00:00,244.952
"42",2009-11-27 16:00:00,240.3775
"43",2009-11-27 17:00:00,239.5405
"44",2009-11-27 18:00:00,239.960666666667
"45",2009-11-27 19:00:00,240.404166666667
"46",2009-11-27 20:00:00,239.714166666667
"47",2009-11-27 21:00:00,241.682666666667
"48",2009-11-27 22:00:00,244.5065
"49",2009-11-27 23:00:00,245.057833333333
"50",2009-11-28 00:00:00,240.68
"51",2009-11-28 01:00:00,243.01
"52",2009-11-28 02:00:00,243.666333333333
"53",2009-11-28 03:00:00,244.117833333333
"54",2009-11-28 04:00:00,243.937
"55",2009-11-28 05:00:00,243.077166666667
"56",2009-11-28 06:00:00,241.319
"57",2009-11-28 07:00:00,240.8935
"58",2009-11-28 08:00:00,239.169666666667
"59",2009-11-28 09:00:00,241.552
"60",2009-11-28 10:00:00,243.850833333333
"61",2009-11-28 11:00:00,241.203166666667
"62",2009-11-28 12:00:00,241.727166666667
"63",2009-11-28 13:00:00,242.568166666667
"64",2009-11-28 14:00:00,243.669166666667
"65",2009-11-28 15:00:00,242.93
"66",2009-11-28 16:00:00,238.057833333333
"67",2009-11-28 17:00:00,237.854666666667
"68",2009-11-28 18:00:00,240.0705
"69",2009-11-28 19:00:00,241.28
"70",2009-11-28 20:00:00,237.917
"71",2009-11-28 21:00:00,238.917
"72",2009-11-28 22:00:00,241.789
"73",2009-11-28 23:00:00,243.1285
"74",2009-11-29 00:00:00,244.272833333333
"75",2009-11-29 01:00:00,245.620333333333
"76",2009-11-29 02:00:00,246.597166666667
"77",2009-11-29 03:00:00,246.8765
"78",2009-11-29 04:00:00,246.513
"79",2009-11-29 05:00:00,246.234666666667
"80",2009-11-29 06:00:00,244.700666666667
"81",2009-11-29 07:00:00,243.548
"82",2009-11-29 08:00:00,239.443
"83",2009-11-29 09:00:00,242.261166666667
"84",2009-11-29 10:00:00,241.053
"85",2009-11-29 11:00:00,242.638333333333
"86",2009-11-29 12:00:00,244.681833333333
"87",2009-11-29 13:00:00,244.744
"88",2009-11-29 14:00:00,244.909833333333
"89",2009-11-29 15:00:00,245.065833333333
"90",2009-11-29 16:00:00,241.902666666667
"91",2009-11-29 17:00:00,239.957166666667
"92",2009-11-29 18:00:00,238.591833333333
"93",2009-11-29 19:00:00,238.784666666667
"94",2009-11-29 20:00:00,240.963166666667
"95",2009-11-29 21:00:00,242.124833333333
"96",2009-11-29 22:00:00,244.796333333333
"97",2009-11-29 23:00:00,245.109
"98",2009-11-30 00:00:00,243.182
"99",2009-11-30 01:00:00,246.604666666667
